type,name,label,x,y,pitch
supply,SUPPLY-01,SUPPLY,47,26,
pickup_slot,PICK-1,P1,46,25,
pickup_slot,PICK-2,P2,46,27,
drop_point,DP-209F-01,209F,14,46,
drop_point,DP-209E-01,209E,18,46,
drop_point,DP-209D-01,209D,22,46,
drop_point,DP-209C-01,209C,26,46,
drop_point,DP-209B-01,209B,30,46,
drop_point,DP-209A-01,209A,34,46,
drop_point,DP-200A-01,200A,26,38,
drop_point,DP-200B-01,200B,31,38,
drop_point,DP-200C-01,200C,36,38,
drop_point,DP-130A-01,130A,4,30,
drop_point,DP-130B-01,130B,8,30,
drop_point,DP-140A-01,140A,12,30,
drop_point,DP-140B-01,140B,16,30,
drop_point,DP-140C-01,140C,20,30,
drop_point,DP-150-01,150,24,30,
drop_point,DP-200A-02,200A,30,30,
drop_point,DP-200B-02,200B,35,30,
drop_point,DP-200C-02,200C,40,30,
drop_point,DP-130A-02,130A,4,22,
drop_point,DP-130B-02,130B,8,22,
drop_point,DP-140A-02,140A,12,22,
drop_point,DP-140B-02,140B,16,22,
drop_point,DP-140C-02,140C,20,22,
drop_point,DP-150-02,150,24,22,
drop_point,DP-200A-03,200A,30,22,
drop_point,DP-200B-03,200B,35,22,
drop_point,DP-200C-03,200C,40,22,
drop_point,DP-130A-03,130A,4,14,
drop_point,DP-130B-03,130B,8,14,
drop_point,DP-140A-03,140A,12,14,
drop_point,DP-140B-03,140B,16,14,
drop_point,DP-140C-03,140C,20,14,
drop_point,DP-150-03,150,24,14,
drop_point,DP-200A-04,200A,30,14,
drop_point,DP-200B-04,200B,35,14,
drop_point,DP-200C-04,200C,40,14,
agv,1,AGV1,50,26,180
agv,2,AGV2,50,26,180
agv,3,AGV3,50,26,180
agv,4,AGV4,50,26,180
agv,5,AGV5,50,26,180
agv,6,AGV6,50,26,180
agv,7,AGV7,50,26,180
agv,8,AGV8,50,26,180
agv,9,AGV9,50,26,180
agv,10,AGV10,50,26,180
