task_id,destination_id,destination_label,material,release_time,window_start,window_end,priority
T0011,DP-130B-01,130B,M1,31,51,155,Normal
T0023,DP-140C-02,140C,M2,36,56,117,Normal
T0018,DP-200C-02,200C,M3,41,61,135,Normal
T0034,DP-200A-04,200A,M2,50,70,124,Normal
T0022,DP-140B-02,140B,M4,54,74,160,Normal
T0004,DP-209C-01,209C,M5,55,75,134,Normal
T0008,DP-200B-01,200B,M1,55,75,168,Normal
T0002,DP-209E-01,209E,M5,57,77,130,Normal
T0020,DP-130B-02,130B,M3,58,78,175,Normal
T0029,DP-130B-03,130B,M1,64,84,164,Normal
T0010,DP-130A-01,130A,M4,67,87,183,Normal
T0021,DP-140A-02,140A,M5,68,88,137,Normal
T0030,DP-140A-03,140A,M1,68,88,182,Normal
T0015,DP-150-01,150,M3,71,91,165,Normal
T0014,DP-140C-01,140C,M1,74,94,144,Normal
T0012,DP-140A-01,140A,M5,75,95,193,Normal
T0016,DP-200A-02,200A,M3,94,114,181,Normal
T0009,DP-200C-01,200C,M3,97,117,168,Normal
T0028,DP-130A-03,130A,M4,98,118,187,Normal
T0025,DP-200A-03,200A,M2,102,122,190,Normal
T0031,DP-140B-03,140B,M1,111,131,186,Normal
T0006,DP-209A-01,209A,M1,114,134,216,Normal
T0036,DP-200C-04,200C,M3,125,145,191,Normal
T0026,DP-200B-03,200B,M1,126,146,196,Normal
T0032,DP-140C-03,140C,M5,128,148,241,Normal
T0035,DP-200B-04,200B,M5,135,155,258,Normal
T0024,DP-150-02,150,M4,137,157,218,Normal
T0005,DP-209B-01,209B,M4,143,163,220,Normal
T0013,DP-140B-01,140B,M1,147,167,224,Normal
T0003,DP-209D-01,209D,M1,151,171,243,Normal
T0017,DP-200B-02,200B,M5,155,175,260,Normal
T0027,DP-200C-03,200C,M5,160,180,235,Normal
T0033,DP-150-03,150,M5,160,180,244,Normal
T0001,DP-209F-01,209F,M3,163,183,235,Normal
T0019,DP-130A-02,130A,M3,176,196,276,Normal
T0007,DP-200A-01,200A,M3,178,198,270,Normal
