task_id,destination_id,destination_label,material,agv_id,window_start,window_end,arrival_time,delivery_time,delay,distance,pickup,unload_x,unload_y
T0023,DP-140C-02,140C,M2,2,56,117,64,64,0,31,P1,20,25
T0034,DP-200A-04,200A,M2,4,70,124,78,78,0,31,P1,30,17
T0002,DP-209E-01,209E,M5,8,77,130,107,107,0,53,P1,18,45
T0004,DP-209C-01,209C,M5,6,75,134,95,95,0,43,P2,26,45
T0018,DP-200C-02,200C,M3,7,61,135,61,61,0,15,P1,40,29
T0011,DP-130B-01,130B,M1,1,51,155,73,73,0,45,P2,8,29
T0022,DP-140B-02,140B,M4,5,74,160,92,92,0,39,P2,16,25
T0029,DP-130B-03,130B,M1,10,84,164,112,112,0,51,P1,8,17
T0020,DP-130B-02,130B,M3,9,78,175,103,103,0,51,P2,8,25
T0030,DP-140A-03,140A,M1,3,88,182,112,112,0,47,P1,12,17
T0008,DP-200B-01,200B,M1,7,75,168,98,98,0,33,P2,31,37
T0021,DP-140A-02,140A,M5,2,88,137,130,130,0,62,P1,12,25
T0010,DP-130A-01,130A,M4,1,87,183,161,161,0,84,P2,4,29
T0009,DP-200C-01,200C,M3,4,117,168,130,130,0,48,P1,36,37
T0014,DP-140C-01,140C,M1,5,94,144,158,158,16,62,P1,20,29
T0016,DP-200A-02,200A,M3,6,114,181,155,155,0,56,P2,30,29
T0012,DP-140A-01,140A,M5,7,95,193,163,163,0,61,P2,12,29
T0028,DP-130A-03,130A,M4,9,118,187,197,197,12,90,P1,4,17
T0005,DP-209B-01,209B,M4,8,163,220,197,197,0,86,P1,30,45
T0025,DP-200A-03,200A,M2,10,122,190,180,180,0,62,P1,30,25
T0036,DP-200C-04,200C,M3,3,145,191,174,174,0,58,P1,40,17
T0015,DP-150-01,150,M3,4,91,165,178,178,15,44,P2,24,29
T0031,DP-140B-03,140B,M1,2,131,186,208,208,24,74,P1,16,17
T0006,DP-209A-01,209A,M1,6,134,216,207,207,0,83,P2,34,45
T0032,DP-140C-03,140C,M5,5,148,241,226,226,0,103,P2,20,17
T0017,DP-200B-02,200B,M5,1,175,260,222,222,0,57,P2,35,29
T0024,DP-150-02,150,M4,7,157,218,227,227,11,89,P2,24,25
T0026,DP-200B-03,200B,M1,3,146,196,203,203,9,25,P1,35,25
T0001,DP-209F-01,209F,M3,4,183,235,256,256,23,129,P2,14,45
T0035,DP-200B-04,200B,M5,10,155,258,221,221,0,37,P1,35,17
T0013,DP-140B-01,140B,M1,9,167,224,285,285,63,121,P1,16,29
T0019,DP-130A-02,130A,M3,8,196,276,279,279,5,127,P2,4,25
T0033,DP-150-03,150,M5,3,180,244,250,250,8,78,P1,24,17
T0027,DP-200C-03,200C,M5,2,180,235,260,260,27,61,P2,40,25
T0003,DP-209D-01,209D,M1,10,171,243,288,288,47,110,P1,22,45
T0007,DP-200A-01,200A,M3,1,198,270,269,269,1,78,P2,26,37
