generation,best_score,generation_best_score,total_tardiness,max_tardiness,late_task_count,makespan,total_distance,total_wait,workload_imbalance
0,74100,74100,318,66,12,357,2340,64,1
1,74100,74100,318,66,12,357,2340,64,1
2,74100,74100,318,66,12,357,2340,64,1
3,74100,74100,318,66,12,357,2340,64,1
4,74100,74100,318,66,12,357,2340,64,1
5,74100,74100,318,66,12,357,2340,64,1
6,74100,74100,318,66,12,357,2340,64,1
7,74100,74100,318,66,12,357,2340,64,1
8,74100,74100,318,66,12,357,2340,64,1
9,74100,74100,318,66,12,357,2340,64,1
10,73800,73800,312,69,12,357,2334,64,1
11,73800,73800,312,69,12,357,2334,64,1
12,73800,73800,312,69,12,357,2334,64,1
13,73800,73800,312,69,12,357,2334,64,1
14,73800,73800,312,69,12,357,2334,64,1
15,73800,73800,312,69,12,357,2334,64,1
16,73800,73800,312,69,12,357,2334,64,1
17,73800,73800,312,69,12,357,2334,64,1
18,73800,73800,312,69,12,357,2334,64,1
19,73800,73800,312,69,12,357,2334,64,1
20,73800,73800,312,69,12,357,2334,64,1
21,73800,73800,312,69,12,357,2334,64,1
22,72200,72200,296,69,11,357,2334,64,1
23,72200,72200,296,69,11,357,2334,64,1
24,72200,72200,296,69,11,357,2334,64,1
25,71300,71300,287,69,11,357,2316,60,1
26,71300,71300,287,69,11,357,2316,60,1
27,71300,71300,287,69,11,357,2316,60,1
28,71300,71300,287,69,11,357,2316,60,1
29,71300,71300,287,69,11,357,2316,60,1
30,71300,71300,287,69,11,357,2316,60,1
31,71300,71300,287,69,11,357,2316,60,1
32,71300,71300,287,69,11,357,2316,60,1
33,71300,71300,287,69,11,357,2316,60,1
34,71300,71300,287,69,11,357,2316,60,1
35,71300,71300,287,69,11,357,2316,60,1
36,71300,71300,287,69,11,357,2316,60,1
37,71300,71300,287,69,11,357,2316,60,1
38,71300,71300,287,69,11,357,2316,60,1
39,71300,71300,287,69,11,357,2316,60,1
40,71300,71300,287,69,11,357,2316,60,1
41,71300,71300,287,69,11,357,2316,60,1
42,71300,71300,287,69,11,357,2316,60,1
43,71300,71300,287,69,11,357,2316,60,1
44,71100,71100,289,63,12,359,2318,60,1
45,71100,71100,289,63,12,359,2318,60,1
46,71100,71100,289,63,12,359,2318,60,1
47,71100,71100,289,63,12,359,2318,60,1
48,71100,71100,289,63,12,359,2318,60,1
49,71100,71100,289,63,12,359,2318,60,1
50,71100,71100,289,63,12,359,2318,60,1
51,71100,71100,289,63,12,359,2318,60,1
52,71100,71100,289,63,12,359,2318,60,1
53,71100,71100,289,63,12,359,2318,60,1
54,71100,71100,289,63,12,359,2318,60,1
55,71100,71100,289,63,12,359,2318,60,1
56,71100,71100,289,63,12,359,2318,60,1
57,71100,71100,289,63,12,359,2318,60,1
58,71100,71100,289,63,12,359,2318,60,1
59,71100,71100,289,63,12,359,2318,60,1
60,71100,71100,289,63,12,359,2318,60,1
61,70900,70900,309,63,12,337,2328,60,1
62,70900,70900,309,63,12,337,2328,60,1
63,70900,70900,309,63,12,337,2328,60,1
64,70900,70900,309,63,12,337,2328,60,1
65,70900,70900,309,63,12,337,2328,60,1
66,68300,68300,283,63,13,337,2324,59,1
67,68300,68300,283,63,13,337,2324,59,1
68,68300,68300,283,63,13,337,2324,59,1
69,68300,68300,283,63,13,337,2324,59,1
70,68300,68300,283,63,13,337,2324,59,1
71,68300,68300,283,63,13,337,2324,59,1
72,68300,68300,283,63,13,337,2324,59,1
73,68300,68300,283,63,13,337,2324,59,1
74,67600,67600,276,63,13,337,2324,59,1
75,67600,67600,276,63,13,337,2324,59,1
76,67600,67600,276,63,13,337,2324,59,1
77,67600,67600,276,63,13,337,2324,59,1
78,67600,67600,276,63,13,337,2324,59,1
79,67600,67600,276,63,13,337,2324,59,1
80,67600,67600,276,63,13,337,2324,59,1
81,67400,67400,281,63,15,330,2326,57,1
82,67400,67400,281,63,15,330,2326,57,1
83,66200,66200,262,63,13,337,2326,59,1
84,66200,66200,262,63,13,337,2326,59,1
85,66200,66200,262,63,13,337,2326,59,1
86,66200,66200,262,63,13,337,2326,59,1
87,66200,66200,262,63,13,337,2326,59,1
88,66200,66200,262,63,13,337,2326,59,1
89,66200,66200,262,63,13,337,2326,59,1
90,66200,66200,262,63,13,337,2326,59,1
91,66200,66200,262,63,13,337,2326,59,1
92,66200,66200,262,63,13,337,2326,59,1
93,66200,66200,262,63,13,337,2326,59,1
94,66200,66200,262,63,13,337,2326,59,1
95,66100,66100,261,63,13,337,2324,59,1
96,66100,66100,261,63,13,337,2324,59,1
97,66100,66100,261,63,13,337,2324,59,1
98,66100,66100,261,63,13,337,2324,59,1
99,66100,66100,261,63,13,337,2324,59,1
