task_id,destination_id,destination_label,material,agv_id,window_start,window_end,delivery_time,delay,distance,pickup,unload_x,unload_y
T0034,DP-200A-04,200A,M2,1,26,75,33,0,60,P1,30,17
T0023,DP-140C-02,140C,M5,2,24,76,35,0,66,P2,20,25
T0004,DP-209C-01,209C,M5,4,26,78,50,0,90,P1,26,45
T0009,DP-200C-01,200C,M3,5,32,80,32,0,54,P2,36,37
T0016,DP-200A-02,200A,M1,6,31,82,33,0,50,P1,30,29
T0025,DP-200A-03,200A,M5,7,31,83,31,0,48,P2,30,25
T0027,DP-200C-03,200C,M5,8,40,90,40,0,28,P1,40,25
T0022,DP-140B-02,140B,M2,3,35,92,48,0,78,P2,16,25
T0006,DP-209A-01,209A,M1,8,34,97,94,0,72,P1,34,45
T0017,DP-200B-02,200B,M2,7,40,90,78,0,38,P2,35,29
T0036,DP-200C-04,200C,M1,6,30,90,80,0,38,P1,40,17
T0007,DP-200A-01,200A,M3,5,42,100,96,0,70,P2,26,37
T0015,DP-150-01,150,M2,1,28,87,95,8,58,P2,24,29
T0018,DP-200C-02,200C,M5,2,34,91,87,0,28,P1,40,29
T0033,DP-150-03,150,M5,3,47,112,124,12,70,P1,24,17
T0035,DP-200B-04,200B,M1,4,50,119,122,3,48,P1,35,17
T0008,DP-200B-01,200B,M1,7,26,101,130,29,60,P2,31,37
T0020,DP-130B-02,130B,M3,6,45,100,146,46,88,P1,8,25
T0029,DP-130B-03,130B,M1,2,37,109,157,48,104,P2,8,17
T0026,DP-200B-03,200B,M1,1,22,91,144,53,34,P1,35,25
T0031,DP-140B-03,140B,M1,8,33,83,176,93,86,P1,16,17
T0013,DP-140B-01,140B,M2,5,42,89,172,83,74,P2,16,29
T0014,DP-140C-01,140C,M1,4,22,94,185,91,68,P1,20,29
T0021,DP-140A-02,140A,M2,3,26,100,204,104,82,P1,12,25
T0011,DP-130B-01,130B,M1,7,23,97,209,112,90,P2,8,29
T0024,DP-150-02,150,M5,1,43,106,195,89,58,P1,24,25
T0019,DP-130A-02,130A,M2,6,41,96,244,148,98,P1,4,25
T0005,DP-209B-01,209B,M4,2,37,88,253,165,80,P1,30,45
T0003,DP-209D-01,209D,M1,5,38,96,260,164,94,P2,22,45
T0012,DP-140A-01,140A,M5,4,29,100,263,163,82,P2,12,29
T0010,DP-130A-01,130A,M4,8,28,98,274,176,100,P1,4,29
T0030,DP-140A-03,140A,M1,1,44,97,275,178,94,P1,12,17
T0002,DP-209E-01,209E,M5,3,27,76,302,226,104,P1,18,45
T0032,DP-140C-03,140C,M5,7,36,105,297,192,78,P1,20,17
T0001,DP-209F-01,209F,M3,2,40,88,353,265,112,P1,14,45
T0028,DP-130A-03,130A,M5,6,32,89,354,265,112,P2,4,17
