generation,best_score,generation_best_score,total_tardiness,max_tardiness,late_task_count,makespan,total_distance,total_wait,workload_imbalance
0,36003350,36003350,3308,316,26,465,2610,20,1
1,36003350,36003350,3308,316,26,465,2610,20,1
2,36003350,36003350,3308,316,26,465,2610,20,1
3,36003350,36003350,3308,316,26,465,2610,20,1
4,36003350,36003350,3308,316,26,465,2610,20,1
5,35017510,35017510,3216,350,25,479,2600,35,1
6,34989262,34989262,3227,312,24,457,2600,21,1
7,32171946,32171946,2947,295,24,424,2608,24,1
8,32171946,32171946,2947,295,24,424,2608,24,1
9,32171946,32171946,2947,295,24,424,2608,24,1
10,31721946,31721946,2902,295,24,424,2608,24,1
11,31721946,31721946,2902,295,24,424,2608,24,1
12,31721946,31721946,2902,295,24,424,2608,24,1
13,31721946,31721946,2902,295,24,424,2608,24,1
14,31721946,31721946,2902,295,24,424,2608,24,1
15,31721946,31721946,2902,295,24,424,2608,24,1
16,31701364,31701364,2918,314,22,459,2592,41,2
17,31701364,31701364,2918,314,22,459,2592,41,2
18,31701364,31701364,2918,314,22,459,2592,41,2
19,31380932,31380932,2870,274,24,420,2602,40,1
20,31380932,31380932,2870,274,24,420,2602,40,1
21,31380932,31380932,2870,274,24,420,2602,40,1
22,31380932,31380932,2870,274,24,420,2602,40,1
23,31380932,31380932,2870,274,24,420,2602,40,1
24,31380932,31380932,2870,274,24,420,2602,40,1
25,31359918,31359918,2878,273,23,419,2602,38,1
26,30920932,30920932,2824,274,24,420,2602,40,1
27,30920932,30920932,2824,274,24,420,2602,40,1
28,30920932,30920932,2824,274,24,420,2602,40,1
29,30920932,30920932,2824,274,24,420,2602,40,1
30,30920932,30920932,2824,274,24,420,2602,40,1
31,30920932,30920932,2824,274,24,420,2602,40,1
32,30920932,30920932,2824,274,24,420,2602,40,1
33,30920932,30920932,2824,274,24,420,2602,40,1
34,30920932,30920932,2824,274,24,420,2602,40,1
35,30920932,30920932,2824,274,24,420,2602,40,1
36,30920932,30920932,2824,274,24,420,2602,40,1
37,30461940,30461940,2788,275,23,421,2598,41,1
38,30461940,30461940,2788,275,23,421,2598,41,1
39,30461940,30461940,2788,275,23,421,2598,41,1
40,30461940,30461940,2788,275,23,421,2598,41,1
41,30461940,30461940,2788,275,23,421,2598,41,1
42,30461940,30461940,2788,275,23,421,2598,41,1
43,30461940,30461940,2788,275,23,421,2598,41,1
44,30461940,30461940,2788,275,23,421,2598,41,1
45,30461940,30461940,2788,275,23,421,2598,41,1
46,30461940,30461940,2788,275,23,421,2598,41,1
47,30461940,30461940,2788,275,23,421,2598,41,1
48,30461940,30461940,2788,275,23,421,2598,41,1
49,30291938,30291938,2781,275,22,421,2594,42,1
50,30291938,30291938,2781,275,22,421,2594,42,1
51,30291938,30291938,2781,275,22,421,2594,42,1
52,30291938,30291938,2781,275,22,421,2594,42,1
53,30291938,30291938,2781,275,22,421,2594,42,1
54,30291938,30291938,2781,275,22,421,2594,42,1
55,30291938,30291938,2781,275,22,421,2594,42,1
56,30291938,30291938,2781,275,22,421,2594,42,1
57,30291938,30291938,2781,275,22,421,2594,42,1
58,30271938,30271938,2779,275,22,421,2594,42,1
59,30271938,30271938,2779,275,22,421,2594,42,1
60,30271938,30271938,2779,275,22,421,2594,42,1
61,30161840,30161840,2769,265,22,411,2596,42,1
62,30161840,30161840,2769,265,22,411,2596,42,1
63,30161840,30161840,2769,265,22,411,2596,42,1
64,30161840,30161840,2769,265,22,411,2596,42,1
65,30161840,30161840,2769,265,22,411,2596,42,1
66,30161840,30161840,2769,265,22,411,2596,42,1
67,30161840,30161840,2769,265,22,411,2596,42,1
68,30161840,30161840,2769,265,22,411,2596,42,1
69,30161840,30161840,2769,265,22,411,2596,42,1
70,30161840,30161840,2769,265,22,411,2596,42,1
71,30161840,30161840,2769,265,22,411,2596,42,1
72,30161840,30161840,2769,265,22,411,2596,42,1
73,30161840,30161840,2769,265,22,411,2596,42,1
74,30161840,30161840,2769,265,22,411,2596,42,1
75,30161840,30161840,2769,265,22,411,2596,42,1
76,30161840,30161840,2769,265,22,411,2596,42,1
77,30161840,30161840,2769,265,22,411,2596,42,1
78,30161840,30161840,2769,265,22,411,2596,42,1
79,30161840,30161840,2769,265,22,411,2596,42,1
80,30161840,30161840,2769,265,22,411,2596,42,1
81,30161840,30161840,2769,265,22,411,2596,42,1
82,29751844,29751844,2728,265,22,411,2594,45,1
83,29751844,29751844,2728,265,22,411,2594,45,1
84,29751844,29751844,2728,265,22,411,2594,45,1
85,29751844,29751844,2728,265,22,411,2594,45,1
86,29751844,29751844,2728,265,22,411,2594,45,1
87,29751844,29751844,2728,265,22,411,2594,45,1
88,29751844,29751844,2728,265,22,411,2594,45,1
89,29701834,29701834,2713,265,23,411,2594,40,1
90,29701834,29701834,2713,265,23,411,2594,40,1
91,29701834,29701834,2713,265,23,411,2594,40,1
92,29701834,29701834,2713,265,23,411,2594,40,1
93,29701834,29701834,2713,265,23,411,2594,40,1
94,29701834,29701834,2713,265,23,411,2594,40,1
95,29701834,29701834,2713,265,23,411,2594,40,1
96,29701834,29701834,2713,265,23,411,2594,40,1
97,29701834,29701834,2713,265,23,411,2594,40,1
98,29701834,29701834,2713,265,23,411,2594,40,1
99,29701834,29701834,2713,265,23,411,2594,40,1
