type,name,X,Y,pitch
start_point,Supply_Station,19,10,0
end_point,110A,3,2,0
end_point,110B,3,3,0
end_point,120A,3,6,0
end_point,120B,3,7,0
end_point,130A,3,10,0
end_point,130B,3,11,0
end_point,140A,3,14,0
end_point,140B,3,15,0
end_point,210A,7,2,0
end_point,210B,7,3,0
end_point,220A,7,6,0
end_point,220B,7,7,0
end_point,230A,7,10,0
end_point,230B,7,11,0
end_point,240A,7,14,0
end_point,240B,7,15,0
end_point,310A,11,2,0
end_point,310B,11,3,0
end_point,320A,11,6,0
end_point,320B,11,7,0
end_point,330A,11,10,0
end_point,330B,11,11,0
end_point,340A,11,14,0
end_point,340B,11,15,0
end_point,410A,15,2,0
end_point,410B,15,3,0
end_point,420A,15,6,0
end_point,420B,15,7,0
end_point,430A,15,10,0
end_point,430B,15,11,0
end_point,440A,15,14,0
end_point,440B,15,15,0
obstacle,Shelf_2_1,2,1,0
obstacle,Shelf_2_2,2,2,0
obstacle,Shelf_2_3,2,3,0
obstacle,Shelf_2_6,2,6,0
obstacle,Shelf_2_7,2,7,0
obstacle,Shelf_2_10,2,10,0
obstacle,Shelf_2_11,2,11,0
obstacle,Shelf_2_14,2,14,0
obstacle,Shelf_2_15,2,15,0
obstacle,Shelf_2_18,2,18,0
obstacle,Shelf_2_19,2,19,0
obstacle,Shelf_4_1,4,1,0
obstacle,Shelf_4_2,4,2,0
obstacle,Shelf_4_3,4,3,0
obstacle,Shelf_4_6,4,6,0
obstacle,Shelf_4_7,4,7,0
obstacle,Shelf_4_10,4,10,0
obstacle,Shelf_4_11,4,11,0
obstacle,Shelf_4_14,4,14,0
obstacle,Shelf_4_15,4,15,0
obstacle,Shelf_4_18,4,18,0
obstacle,Shelf_4_19,4,19,0
obstacle,Shelf_6_1,6,1,0
obstacle,Shelf_6_2,6,2,0
obstacle,Shelf_6_3,6,3,0
obstacle,Shelf_6_6,6,6,0
obstacle,Shelf_6_7,6,7,0
obstacle,Shelf_6_10,6,10,0
obstacle,Shelf_6_11,6,11,0
obstacle,Shelf_6_14,6,14,0
obstacle,Shelf_6_15,6,15,0
obstacle,Shelf_6_18,6,18,0
obstacle,Shelf_6_19,6,19,0
obstacle,Shelf_8_1,8,1,0
obstacle,Shelf_8_2,8,2,0
obstacle,Shelf_8_3,8,3,0
obstacle,Shelf_8_6,8,6,0
obstacle,Shelf_8_7,8,7,0
obstacle,Shelf_8_10,8,10,0
obstacle,Shelf_8_11,8,11,0
obstacle,Shelf_8_14,8,14,0
obstacle,Shelf_8_15,8,15,0
obstacle,Shelf_8_18,8,18,0
obstacle,Shelf_8_19,8,19,0
obstacle,Shelf_10_1,10,1,0
obstacle,Shelf_10_2,10,2,0
obstacle,Shelf_10_3,10,3,0
obstacle,Shelf_10_6,10,6,0
obstacle,Shelf_10_7,10,7,0
obstacle,Shelf_10_10,10,10,0
obstacle,Shelf_10_11,10,11,0
obstacle,Shelf_10_14,10,14,0
obstacle,Shelf_10_15,10,15,0
obstacle,Shelf_10_18,10,18,0
obstacle,Shelf_10_19,10,19,0
obstacle,Shelf_12_1,12,1,0
obstacle,Shelf_12_2,12,2,0
obstacle,Shelf_12_3,12,3,0
obstacle,Shelf_12_6,12,6,0
obstacle,Shelf_12_7,12,7,0
obstacle,Shelf_12_10,12,10,0
obstacle,Shelf_12_11,12,11,0
obstacle,Shelf_12_14,12,14,0
obstacle,Shelf_12_15,12,15,0
obstacle,Shelf_12_18,12,18,0
obstacle,Shelf_12_19,12,19,0
obstacle,Shelf_14_1,14,1,0
obstacle,Shelf_14_2,14,2,0
obstacle,Shelf_14_3,14,3,0
obstacle,Shelf_14_6,14,6,0
obstacle,Shelf_14_7,14,7,0
obstacle,Shelf_14_10,14,10,0
obstacle,Shelf_14_11,14,11,0
obstacle,Shelf_14_14,14,14,0
obstacle,Shelf_14_15,14,15,0
obstacle,Shelf_14_18,14,18,0
obstacle,Shelf_14_19,14,19,0
obstacle,Shelf_16_1,16,1,0
obstacle,Shelf_16_2,16,2,0
obstacle,Shelf_16_3,16,3,0
obstacle,Shelf_16_6,16,6,0
obstacle,Shelf_16_7,16,7,0
obstacle,Shelf_16_10,16,10,0
obstacle,Shelf_16_11,16,11,0
obstacle,Shelf_16_14,16,14,0
obstacle,Shelf_16_15,16,15,0
obstacle,Shelf_16_18,16,18,0
obstacle,Shelf_16_19,16,19,0
agv,AGV_1,18,5,90
agv,AGV_2,18,6,90
agv,AGV_3,18,7,90
agv,AGV_4,18,8,90
agv,AGV_5,18,9,90
agv,AGV_6,18,10,90
agv,AGV_7,18,11,90
agv,AGV_8,18,12,90
agv,AGV_9,18,13,90
agv,AGV_10,18,14,90
agv,AGV_11,18,15,90
agv,AGV_12,18,16,90
