type,name,x,y,pitch
material_zone,Material,1,1,
workstation,130A,4,5,
workstation,130B,6,5,
workstation,140A,8,5,
workstation,140B,10,5,
workstation,140C,12,5,
workstation,150,14,5,
workstation,130A-2,4,9,
workstation,130B-2,6,9,
workstation,140A-2,8,9,
workstation,140B-2,10,9,
workstation,140C-2,12,9,
workstation,150-2,14,9,
workstation,130A-3,4,13,
workstation,130B-3,6,13,
workstation,140A-3,8,13,
workstation,140B-3,10,13,
workstation,140C-3,12,13,
workstation,150-3,14,13,
workstation,200A,16,5,
workstation,200B,18,5,
workstation,200C,20,5,
workstation,200A-2,16,9,
workstation,200B-2,18,9,
workstation,200C-2,20,9,
workstation,200A-3,16,13,
workstation,200B-3,18,13,
workstation,200C-3,20,13,
workstation,209F,14,18,
workstation,209E,15,18,
workstation,209D,16,18,
workstation,209C,17,18,
workstation,209B,18,18,
workstation,209A,19,18,
agv,Optimus,2,1,90
agv,Bumblebee,4,1,90
agv,Jazz,6,1,90
agv,Sideswipe,8,1,90
agv,Wheeljack,10,1,90
agv,Ratchet,12,1,90
agv,Ironhide,14,1,90
agv,Hound,16,1,90
agv,Smokescreen,18,1,90
agv,Megatron,20,1,90
agv,Bluestreak,2,20,270
agv,RedAlert,4,20,270
