task_id,start_point,end_point,tw_start,tw_end
Task_1,Supply_Station,310B,177,3777
Task_2,Supply_Station,440A,348,3948
Task_3,Supply_Station,210A,327,3927
Task_4,Supply_Station,440A,455,4055
Task_5,Supply_Station,320B,133,3733
Task_6,Supply_Station,310A,905,4505
Task_7,Supply_Station,310A,870,4470
Task_8,Supply_Station,110B,40,3640
Task_9,Supply_Station,310B,169,3769
Task_10,Supply_Station,210A,211,3811
Task_11,Supply_Station,140A,678,4278
Task_12,Supply_Station,330B,668,4268
Task_13,Supply_Station,230A,129,3729
Task_14,Supply_Station,230A,360,3960
Task_15,Supply_Station,320A,419,4019
Task_16,Supply_Station,130B,557,4157
Task_17,Supply_Station,340B,542,4142
Task_18,Supply_Station,220A,73,3673
Task_19,Supply_Station,320A,37,3637
Task_20,Supply_Station,230B,186,3786
Task_21,Supply_Station,110B,199,3799
Task_22,Supply_Station,320B,863,4463
Task_23,Supply_Station,420B,727,4327
Task_24,Supply_Station,340A,506,4106
Task_25,Supply_Station,230A,141,3741
Task_26,Supply_Station,440B,291,3891
Task_27,Supply_Station,110B,473,4073
Task_28,Supply_Station,330B,8,3608
Task_29,Supply_Station,220A,504,4104
Task_30,Supply_Station,320A,795,4395
Task_31,Supply_Station,120A,48,3648
Task_32,Supply_Station,420A,223,3823
Task_33,Supply_Station,440A,510,4110
Task_34,Supply_Station,340A,73,3673
Task_35,Supply_Station,110A,55,3655
Task_36,Supply_Station,430B,884,4484
Task_37,Supply_Station,230B,486,4086
Task_38,Supply_Station,120A,708,4308
Task_39,Supply_Station,240A,594,4194
Task_40,Supply_Station,110A,89,3689
Task_41,Supply_Station,110A,769,4369
Task_42,Supply_Station,420A,765,4365
Task_43,Supply_Station,430A,480,4080
Task_44,Supply_Station,240B,531,4131
Task_45,Supply_Station,140A,534,4134
Task_46,Supply_Station,120B,382,3982
Task_47,Supply_Station,410B,417,4017
Task_48,Supply_Station,240B,952,4552
Task_49,Supply_Station,230A,840,4440
Task_50,Supply_Station,110A,832,4432
Task_51,Supply_Station,410A,276,3876
Task_52,Supply_Station,320A,999,4599
Task_53,Supply_Station,340A,902,4502
Task_54,Supply_Station,230B,283,3883
Task_55,Supply_Station,220B,494,4094
Task_56,Supply_Station,220B,110,3710
Task_57,Supply_Station,130A,195,3795
Task_58,Supply_Station,340B,347,3947
Task_59,Supply_Station,130B,798,4398
Task_60,Supply_Station,140A,824,4424
Task_61,Supply_Station,320B,600,4200
Task_62,Supply_Station,430A,705,4305
Task_63,Supply_Station,140B,618,4218
Task_64,Supply_Station,320A,513,4113
Task_65,Supply_Station,420A,718,4318
Task_66,Supply_Station,340B,902,4502
Task_67,Supply_Station,310A,58,3658
Task_68,Supply_Station,220B,420,4020
Task_69,Supply_Station,120B,418,4018
Task_70,Supply_Station,110A,240,3840
Task_71,Supply_Station,340B,951,4551
Task_72,Supply_Station,130B,817,4417
Task_73,Supply_Station,110B,765,4365
Task_74,Supply_Station,420B,270,3870
Task_75,Supply_Station,130A,987,4587
Task_76,Supply_Station,440A,212,3812
Task_77,Supply_Station,340A,235,3835
Task_78,Supply_Station,410A,164,3764
Task_79,Supply_Station,310B,471,4071
Task_80,Supply_Station,330A,794,4394
Task_81,Supply_Station,340B,752,4352
Task_82,Supply_Station,430A,246,3846
Task_83,Supply_Station,110B,757,4357
Task_84,Supply_Station,140A,848,4448
Task_85,Supply_Station,320B,581,4181
Task_86,Supply_Station,220B,77,3677
Task_87,Supply_Station,120B,328,3928
Task_88,Supply_Station,210B,187,3787
Task_89,Supply_Station,220B,281,3881
Task_90,Supply_Station,310B,10,3610
Task_91,Supply_Station,340B,994,4594
Task_92,Supply_Station,420B,263,3863
Task_93,Supply_Station,410A,191,3791
Task_94,Supply_Station,410A,342,3942
Task_95,Supply_Station,110A,670,4270
Task_96,Supply_Station,330A,303,3903
Task_97,Supply_Station,210B,165,3765
Task_98,Supply_Station,340A,754,4354
Task_99,Supply_Station,420A,475,4075
Task_100,Supply_Station,340A,569,4169
Task_101,Supply_Station,410B,283,3883
Task_102,Supply_Station,240B,15,3615
