task_id,workstation,release_time,due_time,processing_time,priority,material_zone
130A-1,130A,10,109,14,Normal,Material
130A-2,130A,52,150,9,Normal,Material
130A-3,130A,92,192,11,Normal,Material
130B-1,130B,13,113,9,Normal,Material
130B-2,130B,55,157,14,Normal,Material
130B-3,130B,77,197,18,Normal,Material
140A-1,140A,1,114,8,Normal,Material
140A-2,140A,39,153,10,Normal,Material
140A-3,140A,85,186,18,Normal,Material
140B-1,140B,18,136,18,Normal,Material
140B-2,140B,46,144,16,Normal,Material
140B-3,140B,106,195,11,Urgent,Material
140C-1,140C,13,91,15,Urgent,Material
140C-2,140C,47,157,11,Normal,Material
140C-3,140C,67,195,17,Normal,Material
150-1,150,15,114,15,Normal,Material
150-2,150,43,108,16,Urgent,Material
150-3,150,85,166,10,Urgent,Material
130A-2-1,130A-2,1,117,16,Normal,Material
130A-2-2,130A-2,37,121,17,Urgent,Material
130A-2-3,130A-2,55,180,9,Normal,Material
130B-2-1,130B-2,2,75,12,Urgent,Material
130B-2-2,130B-2,39,135,18,Normal,Material
130B-2-3,130B-2,80,182,13,Normal,Material
140A-2-1,140A-2,15,118,11,Normal,Material
140A-2-2,140A-2,47,133,14,Urgent,Material
140A-2-3,140A-2,69,149,10,Urgent,Material
140B-2-1,140B-2,17,107,10,Urgent,Material
140B-2-2,140B-2,50,169,14,Normal,Material
140B-2-3,140B-2,81,187,10,Normal,Material
140C-2-1,140C-2,4,99,18,Normal,Material
140C-2-2,140C-2,44,155,17,Normal,Material
140C-2-3,140C-2,72,193,8,Normal,Material
150-2-1,150-2,17,120,17,Normal,Material
150-2-2,150-2,58,182,17,Normal,Material
150-2-3,150-2,101,181,14,Urgent,Material
130A-3-1,130A-3,12,70,15,Urgent,Material
130A-3-2,130A-3,43,166,9,Normal,Material
130A-3-3,130A-3,72,170,9,Normal,Material
130B-3-1,130B-3,3,132,17,Normal,Material
130B-3-2,130B-3,31,130,13,Normal,Material
130B-3-3,130B-3,65,129,17,Urgent,Material
140A-3-1,140A-3,20,145,13,Normal,Material
140A-3-2,140A-3,48,132,9,Urgent,Material
140A-3-3,140A-3,100,200,15,Normal,Material
140B-3-1,140B-3,4,129,13,Normal,Material
140B-3-2,140B-3,34,142,16,Normal,Material
140B-3-3,140B-3,86,215,13,Normal,Material
140C-3-1,140C-3,0,111,12,Normal,Material
140C-3-2,140C-3,41,158,13,Normal,Material
140C-3-3,140C-3,64,173,16,Normal,Material
150-3-1,150-3,19,88,11,Urgent,Material
150-3-2,150-3,50,127,16,Urgent,Material
150-3-3,150-3,69,194,8,Normal,Material
200A-1,200A,8,131,17,Normal,Material
200A-2,200A,44,153,13,Normal,Material
200A-3,200A,64,131,11,Urgent,Material
200B-1,200B,10,135,15,Normal,Material
200B-2,200B,55,157,13,Normal,Material
200B-3,200B,84,150,11,Urgent,Material
200C-1,200C,13,133,13,Normal,Material
200C-2,200C,52,157,14,Normal,Material
200C-3,200C,73,177,10,Normal,Material
200A-2-1,200A-2,18,143,18,Normal,Material
200A-2-2,200A-2,54,150,10,Normal,Material
200A-2-3,200A-2,68,196,18,Normal,Material
200B-2-1,200B-2,4,100,11,Normal,Material
200B-2-2,200B-2,37,164,11,Normal,Material
200B-2-3,200B-2,68,179,17,Normal,Material
200C-2-1,200C-2,17,134,10,Normal,Material
200C-2-2,200C-2,56,143,18,Urgent,Material
200C-2-3,200C-2,75,203,16,Normal,Material
200A-3-1,200A-3,16,111,15,Normal,Material
200A-3-2,200A-3,45,170,10,Normal,Material
200A-3-3,200A-3,104,219,9,Normal,Material
200B-3-1,200B-3,16,77,16,Urgent,Material
200B-3-2,200B-3,58,165,8,Normal,Material
200B-3-3,200B-3,82,209,8,Normal,Material
200C-3-1,200C-3,14,137,8,Normal,Material
200C-3-2,200C-3,49,161,17,Normal,Material
200C-3-3,200C-3,92,179,16,Urgent,Material
209F-1,209F,7,130,12,Normal,Material
209F-2,209F,36,156,14,Normal,Material
209F-3,209F,85,195,13,Normal,Material
209E-1,209E,13,115,11,Normal,Material
209E-2,209E,42,146,18,Normal,Material
209E-3,209E,79,148,10,Urgent,Material
209D-1,209D,3,112,15,Normal,Material
209D-2,209D,33,109,14,Urgent,Material
209D-3,209D,79,194,11,Normal,Material
209C-1,209C,2,132,8,Normal,Material
209C-2,209C,41,160,15,Normal,Material
209C-3,209C,72,199,16,Normal,Material
209B-1,209B,2,102,11,Normal,Material
209B-2,209B,35,141,12,Normal,Material
209B-3,209B,68,139,10,Urgent,Material
209A-1,209A,12,87,16,Urgent,Material
209A-2,209A,39,145,12,Normal,Material
209A-3,209A,88,184,9,Normal,Material
