timestamp,name,X,Y,task_id,status
0,AGV_1,18,5,Task_28,Moving
0,AGV_2,18,6,Task_90,Moving
0,AGV_3,18,7,Task_102,Moving
0,AGV_4,18,8,WAIT,WAIT
0,AGV_5,18,9,WAIT,WAIT
0,AGV_6,18,10,WAIT,WAIT
0,AGV_7,18,11,WAIT,WAIT
0,AGV_8,18,12,WAIT,WAIT
0,AGV_9,18,13,WAIT,WAIT
0,AGV_10,18,14,WAIT,WAIT
0,AGV_11,18,15,WAIT,WAIT
0,AGV_12,18,16,WAIT,WAIT
1,AGV_1,18,6,Task_28,Moving
1,AGV_2,18,7,Task_90,Moving
1,AGV_3,18,8,Task_102,Moving
1,AGV_4,18,8,WAIT,WAIT
1,AGV_5,18,9,WAIT,WAIT
1,AGV_6,18,10,WAIT,WAIT
1,AGV_7,18,11,WAIT,WAIT
1,AGV_8,18,12,WAIT,WAIT
1,AGV_9,18,13,WAIT,WAIT
1,AGV_10,18,14,WAIT,WAIT
1,AGV_11,18,15,WAIT,WAIT
1,AGV_12,18,16,WAIT,WAIT
2,AGV_1,18,7,Task_28,Moving
2,AGV_2,18,8,Task_90,Moving
2,AGV_3,18,9,Task_102,Moving
2,AGV_4,18,8,WAIT,WAIT
2,AGV_5,18,9,WAIT,WAIT
2,AGV_6,18,10,WAIT,WAIT
2,AGV_7,18,11,WAIT,WAIT
2,AGV_8,18,12,WAIT,WAIT
2,AGV_9,18,13,WAIT,WAIT
2,AGV_10,18,14,WAIT,WAIT
2,AGV_11,18,15,WAIT,WAIT
2,AGV_12,18,16,WAIT,WAIT
3,AGV_1,18,8,Task_28,Moving
3,AGV_2,18,9,Task_90,Moving
3,AGV_3,19,9,Task_102,Moving
3,AGV_4,18,8,WAIT,WAIT
3,AGV_5,18,9,WAIT,WAIT
3,AGV_6,18,10,WAIT,WAIT
3,AGV_7,18,11,WAIT,WAIT
3,AGV_8,18,12,WAIT,WAIT
3,AGV_9,18,13,WAIT,WAIT
3,AGV_10,18,14,WAIT,WAIT
3,AGV_11,18,15,WAIT,WAIT
3,AGV_12,18,16,WAIT,WAIT
4,AGV_1,18,9,Task_28,Moving
4,AGV_2,19,9,Task_90,Moving
4,AGV_3,19,10,Task_102,Moving
4,AGV_4,18,8,WAIT,WAIT
4,AGV_5,18,9,WAIT,WAIT
4,AGV_6,18,10,WAIT,WAIT
4,AGV_7,18,11,WAIT,WAIT
4,AGV_8,18,12,WAIT,WAIT
4,AGV_9,18,13,WAIT,WAIT
4,AGV_10,18,14,WAIT,WAIT
4,AGV_11,18,15,WAIT,WAIT
4,AGV_12,18,16,WAIT,WAIT
5,AGV_1,19,9,Task_28,Moving
5,AGV_2,19,10,Task_90,Moving
5,AGV_3,19,10,Task_102,Loading
5,AGV_4,18,8,WAIT,WAIT
5,AGV_5,18,9,WAIT,WAIT
5,AGV_6,18,10,WAIT,WAIT
5,AGV_7,18,11,WAIT,WAIT
5,AGV_8,18,12,WAIT,WAIT
5,AGV_9,18,13,WAIT,WAIT
5,AGV_10,18,14,WAIT,WAIT
5,AGV_11,18,15,WAIT,WAIT
5,AGV_12,18,16,WAIT,WAIT
6,AGV_1,19,10,Task_28,Moving
6,AGV_2,19,10,Task_90,Loading
6,AGV_3,19,10,Task_102,Loading
6,AGV_4,18,8,WAIT,WAIT
6,AGV_5,18,9,WAIT,WAIT
6,AGV_6,18,10,WAIT,WAIT
6,AGV_7,18,11,WAIT,WAIT
6,AGV_8,18,12,WAIT,WAIT
6,AGV_9,18,13,WAIT,WAIT
6,AGV_10,18,14,WAIT,WAIT
6,AGV_11,18,15,WAIT,WAIT
6,AGV_12,18,16,WAIT,WAIT
7,AGV_1,19,10,Task_28,Loading
7,AGV_2,19,10,Task_90,Loading
7,AGV_3,19,10,Task_102,Moving
7,AGV_4,18,8,WAIT,WAIT
7,AGV_5,18,9,WAIT,WAIT
7,AGV_6,18,10,WAIT,WAIT
7,AGV_7,18,11,WAIT,WAIT
7,AGV_8,18,12,WAIT,WAIT
7,AGV_9,18,13,WAIT,WAIT
7,AGV_10,18,14,WAIT,WAIT
7,AGV_11,18,15,WAIT,WAIT
7,AGV_12,18,16,WAIT,WAIT
8,AGV_1,19,10,Task_28,Loading
8,AGV_2,19,10,Task_90,Moving
8,AGV_3,18,10,Task_102,Moving
8,AGV_4,18,8,WAIT,WAIT
8,AGV_5,18,9,WAIT,WAIT
8,AGV_6,18,10,WAIT,WAIT
8,AGV_7,18,11,WAIT,WAIT
8,AGV_8,18,12,WAIT,WAIT
8,AGV_9,18,13,WAIT,WAIT
8,AGV_10,18,14,WAIT,WAIT
8,AGV_11,18,15,WAIT,WAIT
8,AGV_12,18,16,WAIT,WAIT
9,AGV_1,19,10,Task_28,Moving
9,AGV_2,18,10,Task_90,Moving
9,AGV_3,17,10,Task_102,Moving
9,AGV_4,18,8,WAIT,WAIT
9,AGV_5,18,9,WAIT,WAIT
9,AGV_6,18,10,WAIT,WAIT
9,AGV_7,18,11,WAIT,WAIT
9,AGV_8,18,12,WAIT,WAIT
9,AGV_9,18,13,WAIT,WAIT
9,AGV_10,18,14,WAIT,WAIT
9,AGV_11,18,15,WAIT,WAIT
9,AGV_12,18,16,WAIT,WAIT
10,AGV_1,18,10,Task_28,Moving
10,AGV_2,17,10,Task_90,Moving
10,AGV_3,17,11,Task_102,Moving
10,AGV_4,18,8,WAIT,WAIT
10,AGV_5,18,9,WAIT,WAIT
10,AGV_6,18,10,WAIT,WAIT
10,AGV_7,18,11,WAIT,WAIT
10,AGV_8,18,12,WAIT,WAIT
