task_id,destination_id,destination_label,material,agv_id,window_start,window_end,delivery_time,delay,distance,pickup,unload_x,unload_y
T0014,DP-140C-01,140C,M1,1,22,94,37,15,68,P1,20,29
T0011,DP-130B-01,130B,M1,2,23,97,47,24,90,P2,8,29
T0023,DP-140C-02,140C,M5,3,24,76,36,12,66,P1,20,25
T0004,DP-209C-01,209C,M5,4,26,78,48,22,88,P2,26,45
T0008,DP-200B-01,200B,M1,5,26,101,40,14,64,P1,31,37
T0021,DP-140A-02,140A,M2,6,26,100,49,23,84,P2,12,25
T0034,DP-200A-04,200A,M2,7,26,75,40,14,62,P1,30,17
T0015,DP-150-01,150,M2,8,28,87,40,12,64,P2,24,29
T0012,DP-140A-01,140A,M5,3,29,100,116,87,84,P1,12,29
T0028,DP-130A-03,130A,M5,7,32,89,130,98,112,P2,4,17
T0031,DP-140B-03,140B,M1,1,33,83,119,86,88,P1,16,17
T0005,DP-209B-01,209B,M4,5,37,88,115,78,80,P2,30,45
T0026,DP-200B-03,200B,M1,8,22,91,95,73,38,P1,35,25
T0009,DP-200C-01,200C,M3,6,32,80,121,89,52,P1,36,37
T0022,DP-140B-02,140B,M2,4,35,92,132,97,74,P2,16,25
T0016,DP-200A-02,200A,M1,2,31,82,122,91,48,P1,30,29
T0017,DP-200B-02,200B,M2,8,40,90,137,97,38,P1,35,29
T0002,DP-209E-01,209E,M5,2,27,76,202,175,104,P1,18,45
T0006,DP-209A-01,209A,M1,6,34,97,189,155,74,P1,34,45
T0018,DP-200C-02,200C,M5,5,34,91,171,137,26,P2,40,29
T0010,DP-130A-01,130A,M4,3,28,98,212,184,100,P1,4,29
T0025,DP-200A-03,200A,M5,8,31,83,184,153,48,P2,30,25
T0027,DP-200C-03,200C,M5,1,40,90,179,139,26,P2,40,25
T0036,DP-200C-04,200C,M1,4,30,90,192,162,38,P1,40,17
T0024,DP-150-02,150,M5,5,43,106,217,174,58,P2,24,25
T0032,DP-140C-03,140C,M5,7,36,105,230,194,80,P1,20,17
T0007,DP-200A-01,200A,M3,1,42,100,233,191,72,P1,26,37
T0020,DP-130B-02,130B,M3,8,45,100,256,211,90,P1,8,25
T0030,DP-140A-03,140A,M1,4,44,97,262,218,94,P1,12,17
T0035,DP-200B-04,200B,M1,6,50,119,252,202,48,P1,35,17
T0029,DP-130B-03,130B,M1,5,37,109,301,264,102,P1,8,17
T0003,DP-209D-01,209D,M1,2,38,96,306,268,96,P1,22,45
T0033,DP-150-03,150,M5,3,47,112,302,255,72,P1,24,17
T0001,DP-209F-01,209F,M3,1,40,88,327,287,110,P2,14,45
T0019,DP-130A-02,130A,M2,7,41,96,324,283,100,P1,4,25
T0013,DP-140B-01,140B,M2,6,42,89,319,277,76,P1,16,29
