type,name,label,x,y,pitch
supply,SUPPLY-01,物料区,18,10,
pickup_slot,PICK-1,P1,17,10,
drop_point,DP-209F-01,209F,7,18,
drop_point,DP-209E-01,209E,9,18,
drop_point,DP-209D-01,209D,11,18,
drop_point,DP-209C-01,209C,13,18,
drop_point,DP-209B-01,209B,15,18,
drop_point,DP-209A-01,209A,17,18,
drop_point,DP-200A-01,200A,14,15,
drop_point,DP-200B-01,200B,15,15,
drop_point,DP-200C-01,200C,16,15,
drop_point,DP-130A-02,130A,2,11,
drop_point,DP-130B-02,130B,4,11,
drop_point,DP-140A-02,140A,6,11,
drop_point,DP-140B-02,140B,8,11,
drop_point,DP-140C-02,140C,10,11,
drop_point,DP-150-02,150,12,11,
drop_point,DP-200A-02,200A,14,11,
drop_point,DP-200B-02,200B,15,11,
drop_point,DP-200C-02,200C,16,11,
drop_point,DP-130A-03,130A,2,8,
drop_point,DP-130B-03,130B,4,8,
drop_point,DP-140A-03,140A,6,8,
drop_point,DP-140B-03,140B,8,8,
drop_point,DP-140C-03,140C,10,8,
drop_point,DP-150-03,150,12,8,
drop_point,DP-200A-03,200A,14,8,
drop_point,DP-200B-03,200B,15,8,
drop_point,DP-200C-03,200C,16,8,
drop_point,DP-130A-04,130A,2,5,
drop_point,DP-130B-04,130B,4,5,
drop_point,DP-140A-04,140A,6,5,
drop_point,DP-140B-04,140B,8,5,
drop_point,DP-140C-04,140C,10,5,
drop_point,DP-150-04,150,12,5,
drop_point,DP-200A-04,200A,14,5,
drop_point,DP-200B-04,200B,15,5,
drop_point,DP-200C-04,200C,16,5,
agv,1,AGV1,19,7,180
agv,2,AGV2,20,7,180
agv,3,AGV3,19,9,180
agv,4,AGV4,20,9,180
agv,5,AGV5,19,11,180
