task_id,destination_id,destination_label,material,agv_id,window_start,window_end,delivery_time,delay,distance
T0027,DP-200C-03,200C,M2,3,54,130,33,0,6
T0017,DP-200B-02,200B,M2,3,60,109,41,0,4
T0018,DP-200C-02,200C,M3,3,66,139,48,0,3
T0025,DP-200A-03,200A,M5,4,42,82,23,0,8
T0026,DP-200B-03,200B,M1,4,48,115,37,0,7
T0009,DP-200C-01,200C,M4,2,45,139,27,0,10
T0036,DP-200C-04,200C,M1,3,75,131,58,0,6
T0016,DP-200A-02,200A,M1,4,54,127,49,0,8
T0024,DP-150-03,150,M4,4,69,114,62,0,9
T0007,DP-200A-01,200A,M2,5,33,66,19,0,14
T0035,DP-200B-04,200B,M5,1,69,146,56,0,16
T0030,DP-140A-04,140A,M5,6,72,131,74,2,29
T0034,DP-200A-04,200A,M4,7,63,139,69,6,28
T0023,DP-140C-03,140C,M3,8,63,151,73,10,37
T0006,DP-209A-01,209A,M1,1,60,144,75,15,15
T0012,DP-140A-02,140A,M2,3,63,162,82,19,20
T0029,DP-130B-04,130B,M4,4,66,101,91,25,23
T0033,DP-150-04,150,M3,2,57,122,86,29,42
T0022,DP-140B-03,140B,M2,7,57,120,90,33,17
T0005,DP-209B-01,209B,M5,5,54,153,92,38,58
T0015,DP-150-02,150,M5,8,48,98,91,43,13
T0011,DP-130B-02,130B,M1,1,57,112,104,47,24
T0028,DP-130A-04,130A,M3,6,60,114,112,52,34
T0032,DP-140C-04,140C,M2,2,51,93,110,59,20
T0021,DP-140A-03,140A,M1,8,51,125,114,63,19
T0004,DP-209C-01,209C,M4,5,48,91,116,68,20
T0010,DP-130A-02,130A,M5,3,51,84,123,72,30
T0014,DP-140C-02,140C,M4,7,42,107,118,76,21
T0008,DP-200B-01,200B,M3,4,39,96,120,81,23
T0031,DP-140B-04,140B,M1,1,45,85,136,91,28
T0003,DP-209D-01,209D,M3,2,42,100,139,97,24
T0020,DP-130B-03,130B,M5,8,45,87,144,99,26
T0013,DP-140B-02,140B,M3,7,36,94,142,106,18
T0002,DP-209E-01,209E,M2,4,36,101,151,115,27
T0019,DP-130A-03,130A,M4,5,39,80,157,118,35
T0001,DP-209F-01,209F,M1,6,30,74,159,129,40
