timestamp,name,X,Y,pitch,loaded,material,destination_label,destination_id,task_id,status
0,1,19,7,180,false,,,,,idle
0,2,20,7,180,false,,,,,idle
0,3,19,9,180,false,,,,,idle
0,4,20,9,180,false,,,,,idle
0,5,19,11,180,false,,,,,idle
1,1,18,7,180,false,,,,,to_pickup
1,2,19,7,180,false,,,,,to_pickup
1,3,18,9,180,false,,,,,to_pickup
1,4,19,9,180,false,,,,,to_pickup
1,5,19,10,270,false,,,,,to_pickup
2,1,17,7,180,false,,,,,to_pickup
2,2,18,7,180,false,,,,,to_pickup
2,3,17,9,180,false,,,,,to_pickup
2,4,18,9,180,false,,,,,to_pickup
2,5,19,9,270,false,,,,,to_pickup
3,1,17,8,90,false,,,,,to_pickup
3,2,17,7,180,false,,,,,to_pickup
3,3,17,10,90,false,,,,,to_pickup
3,4,17,9,180,false,,,,,to_pickup
3,5,18,9,180,false,,,,,to_pickup
4,1,17,9,90,false,,,,,to_pickup
4,2,17,8,90,false,,,,,to_pickup
4,3,17,10,90,false,,,,,to_pickup
4,4,16,9,180,false,,,,,to_pickup
4,5,18,9,180,false,,,,,to_pickup
5,1,17,10,90,false,,,,,to_pickup
5,2,17,9,90,false,,,,,to_pickup
5,3,17,11,90,false,,,,,to_pickup
5,4,16,10,90,false,,,,,to_pickup
5,5,18,9,180,false,,,,,to_pickup
6,1,17,10,90,true,A料,209F,DP-209F-01,T0001,loading
6,2,17,9,90,false,,,,,to_pickup
6,3,17,11,90,false,,,,,to_pickup
6,4,16,10,90,false,,,,,to_pickup
6,5,18,9,180,false,,,,,to_pickup
7,1,17,10,90,true,A料,209F,DP-209F-01,T0001,loading
7,2,17,9,90,false,,,,,to_pickup
7,3,17,11,90,false,,,,,to_pickup
7,4,16,10,90,false,,,,,to_pickup
7,5,18,9,180,false,,,,,to_pickup
8,1,16,10,180,true,A料,209F,DP-209F-01,T0001,delivering
8,2,17,10,90,false,,,,,to_pickup
8,3,17,11,90,false,,,,,to_pickup
8,4,16,9,270,false,,,,,to_pickup
8,5,17,9,180,false,,,,,to_pickup
9,1,15,10,180,true,A料,209F,DP-209F-01,T0001,delivering
9,2,17,10,90,true,B料,200A,DP-200A-01,T0019,loading
9,3,17,11,90,false,,,,,to_pickup
9,4,16,10,90,false,,,,,to_pickup
9,5,17,9,180,false,,,,,to_pickup
10,1,14,10,180,true,A料,209F,DP-209F-01,T0001,delivering
10,2,17,10,90,true,B料,200A,DP-200A-01,T0019,loading
10,3,17,11,90,false,,,,,to_pickup
10,4,16,10,90,false,,,,,to_pickup
10,5,17,9,180,false,,,,,to_pickup
11,1,13,10,180,true,A料,209F,DP-209F-01,T0001,delivering
11,2,17,11,90,true,B料,200A,DP-200A-01,T0019,delivering
11,3,17,10,270,false,,,,,to_pickup
11,4,16,10,90,false,,,,,to_pickup
11,5,17,9,180,false,,,,,to_pickup
12,1,12,10,180,true,A料,209F,DP-209F-01,T0001,delivering
12,2,17,12,90,true,B料,200A,DP-200A-01,T0019,delivering
12,3,17,10,270,true,B料,209E,DP-209E-01,T0004,loading
12,4,16,10,90,false,,,,,to_pickup
12,5,17,9,180,false,,,,,to_pickup
13,1,11,10,180,true,A料,209F,DP-209F-01,T0001,delivering
13,2,16,12,180,true,B料,200A,DP-200A-01,T0019,delivering
13,3,17,10,270,true,B料,209E,DP-209E-01,T0004,loading
13,4,16,10,90,false,,,,,to_pickup
13,5,17,9,180,false,,,,,to_pickup
14,1,10,10,180,true,A料,209F,DP-209F-01,T0001,delivering
14,2,15,12,180,true,B料,200A,DP-200A-01,T0019,delivering
14,3,16,10,180,true,B料,209E,DP-209E-01,T0004,delivering
14,4,17,10,90,false,,,,,to_pickup
14,5,16,9,180,false,,,,,to_pickup
15,1,9,10,180,true,A料,209F,DP-209F-01,T0001,delivering
15,2,14,12,180,true,B料,200A,DP-200A-01,T0019,delivering
15,3,15,10,180,true,B料,209E,DP-209E-01,T0004,delivering
15,4,17,10,90,true,C料,140B,DP-140B-02,T0037,loading
15,5,16,10,90,false,,,,,to_pickup
16,1,8,10,180,true,A料,209F,DP-209F-01,T0001,delivering
16,2,14,13,90,true,B料,200A,DP-200A-01,T0019,delivering
16,3,14,10,180,true,B料,209E,DP-209E-01,T0004,delivering
16,4,17,10,90,true,C料,140B,DP-140B-02,T0037,loading
16,5,16,10,90,false,,,,,to_pickup
17,1,7,10,180,true,A料,209F,DP-209F-01,T0001,delivering
17,2,14,14,90,true,B料,200A,DP-200A-01,T0019,delivering
17,3,13,10,180,true,B料,209E,DP-209E-01,T0004,delivering
17,4,16,10,180,true,C料,140B,DP-140B-02,T0037,delivering
17,5,17,10,90,false,,,,,to_pickup
18,1,7,11,90,true,A料,209F,DP-209F-01,T0001,delivering
18,2,14,14,90,false,,200A,DP-200A-01,T0019,unloading
18,3,12,10,180,true,B料,209E,DP-209E-01,T0004,delivering
18,4,15,10,180,true,C料,140B,DP-140B-02,T0037,delivering
18,5,17,10,90,true,C料,200B,DP-200B-01,T0022,loading
19,1,7,12,90,true,A料,209F,DP-209F-01,T0001,delivering
19,2,14,14,90,false,,200A,DP-200A-01,T0019,unloading
19,3,11,10,180,true,B料,209E,DP-209E-01,T0004,delivering
19,4,14,10,180,true,C料,140B,DP-140B-02,T0037,delivering
19,5,17,10,90,true,C料,200B,DP-200B-01,T0022,loading
20,1,7,13,90,true,A料,209F,DP-209F-01,T0001,delivering
