task_id,destination_id,destination_label,material,agv_id,window_start,window_end,delivery_time,delay,distance,pickup
T0012,DP-200D-01,200D,M5,1,29,100,11,0,9,P1
T0016,DP-209D-01,209D,M1,1,31,82,24,0,9,P1
T0008,DP-140D-01,140D,M1,1,26,101,40,14,12,P1
T0003,DP-130B-01,130B,M1,2,38,96,32,0,18,P2
T0006,DP-140B-01,140B,M1,1,34,97,60,26,16,P2
T0015,DP-209C-01,209C,M2,2,28,87,67,39,31,P1
T0019,DP-209G-01,209G,M2,3,41,96,37,0,20,P2
T0005,DP-140A-01,140A,M4,3,37,88,74,37,33,P2
T0007,DP-140C-01,140C,M3,4,42,100,33,0,15,P1
T0018,DP-209F-01,209F,M5,4,34,91,76,42,36,P1
T0013,DP-209A-01,209A,M2,5,42,89,41,0,19,P1
T0017,DP-209E-01,209E,M2,5,40,90,84,44,39,P1
T0020,DP-209H-01,209H,M3,6,45,100,37,0,17,P2
T0009,DP-200A-01,200A,M3,6,32,80,68,36,27,P1
T0001,DP-130A-01,130A,M3,2,40,88,106,66,35,P1
T0004,DP-130C-01,130C,M5,1,26,78,98,72,33,P2
T0010,DP-200B-01,200B,M4,6,28,98,105,77,33,P1
T0011,DP-200C-01,200C,M1,4,23,97,107,84,27,P1
T0014,DP-209B-01,209B,M1,3,22,94,115,93,37,P1
T0002,DP-130A-02,130A,M5,5,27,76,127,100,60,P1
