fleet_size,generation,fitness,used_agvs,planned_tasks,unplanned_tasks,total_tardiness,weighted_tardiness,max_tardiness,late_count,makespan,path_failures
1,0,10122759.0,1,30,0,9301,10118.0,632,26,829,0
1,1,9825933.0,1,30,0,9219,9821.0,707,27,853,0
1,2,9825933.0,1,30,0,9219,9821.0,707,27,853,0
1,3,9825933.0,1,30,0,9219,9821.0,707,27,853,0
1,4,9627779.0,1,30,0,9027,9623.0,703,26,849,0
2,0,3531519.0,2,30,0,3255,3527.5,317,23,509,0
2,1,3405606.0,2,30,0,3210,3401.5,297,24,446,0
2,2,3405606.0,2,30,0,3210,3401.5,297,24,446,0
2,3,3405606.0,2,30,0,3210,3401.5,297,24,446,0
2,4,3405606.0,2,30,0,3210,3401.5,297,24,446,0
3,0,1296787.0,3,30,0,1226,1293.5,163,19,347,0
3,1,1169158.0,3,30,0,1133,1166.5,143,15,318,0
3,2,1149640.0,3,30,0,1104,1147.0,148,15,300,0
3,3,1149640.0,3,30,0,1104,1147.0,148,15,300,0
3,4,1149640.0,3,30,0,1104,1147.0,148,15,300,0
4,0,487165.0,4,30,0,450,485.0,132,12,245,0
4,1,487165.0,4,30,0,450,485.0,132,12,245,0
4,2,487165.0,4,30,0,450,485.0,132,12,245,0
4,3,418014.0,4,30,0,385,416.0,131,11,244,0
4,4,418014.0,4,30,0,385,416.0,131,11,244,0
5,0,500582.0,5,30,0,489,498.5,87,11,282,0
5,1,500582.0,5,30,0,489,498.5,87,11,282,0
5,2,500582.0,5,30,0,489,498.5,87,11,282,0
6,0,65671.0,6,30,0,65,65.0,51,2,191,0
6,1,51667.0,6,30,0,51,51.0,47,2,187,0
6,2,4513.0,6,30,0,4,4.0,4,1,183,0
6,3,4513.0,6,30,0,4,4.0,4,1,183,0
6,4,4513.0,6,30,0,4,4.0,4,1,183,0
7,0,78025.0,7,30,0,77,77.0,43,4,215,0
7,1,78025.0,7,30,0,77,77.0,43,4,215,0
7,2,78025.0,7,30,0,77,77.0,43,4,215,0
8,0,100402.0,7,30,0,92,99.5,56,3,212,0
8,1,100402.0,7,30,0,92,99.5,56,3,212,0
8,2,100402.0,7,30,0,92,99.5,56,3,212,0
9,0,453.0,9,30,0,0,0.0,0,0,183,0
9,1,453.0,9,30,0,0,0.0,0,0,183,0
9,2,453.0,9,30,0,0,0.0,0,0,183,0
10,0,451.0,10,30,0,0,0.0,0,0,151,0
10,1,451.0,10,30,0,0,0.0,0,0,151,0
10,2,451.0,10,30,0,0,0.0,0,0,151,0
